Iter 	incumb_est 	candid_est 	error
254 	-40.670251 	-40.670297 	-0.000001
255 	-40.674608 	-40.674659 	-0.000001
256 	-40.662887 	-40.662943 	-0.000001
257 	-40.653187 	-40.653249 	-0.000002
258 	-40.650109 	-40.650176 	-0.000002
259 	-40.652145 	-40.652219 	-0.000002
260 	-40.680056 	-40.680062 	-0.000000
261 	-40.653366 	-40.653397 	-0.000001
262 	-40.642031 	-40.642066 	-0.000001
263 	-40.656449 	-40.656488 	-0.000001
264 	-40.655066 	-40.655109 	-0.000001
265 	-40.674107 	-40.674156 	-0.000001
266 	-40.660165 	-40.660218 	-0.000001
267 	-40.652420 	-40.652478 	-0.000001
268 	-40.631556 	-40.631789 	-0.000006
269 	-40.626099 	-40.626137 	-0.000001
270 	-40.631451 	-40.631703 	-0.000006
271 	-40.634759 	-40.634788 	-0.000001
272 	-40.615760 	-40.616319 	-0.000014
273 	-40.613785 	-40.613792 	-0.000000
274 	-40.602647 	-40.603233 	-0.000014
275 	-40.622475 	-40.622485 	-0.000000
276 	-40.627531 	-40.628143 	-0.000015
277 	-40.643512 	-40.643527 	-0.000000
278 	-40.632740 	-40.633379 	-0.000016
279 	-40.637550 	-40.637571 	-0.000001
280 	-40.652692 	-40.652716 	-0.000001
281 	-40.626014 	-40.626162 	-0.000004
282 	-40.617929 	-40.618085 	-0.000004
283 	-40.632331 	-40.632495 	-0.000004
284 	-40.622046 	-40.623272 	-0.000030
285 	-40.633868 	-40.634047 	-0.000004
286 	-40.658787 	-40.658865 	-0.000002
287 	-40.675970 	-40.675985 	-0.000000
288 	-40.691049 	-40.691066 	-0.000000
289 	-40.677871 	-40.678120 	-0.000006
290 	-40.660415 	-40.660547 	-0.000003
291 	-40.667209 	-40.668960 	-0.000043
292 	-40.690901 	-40.690905 	-0.000000
293 	-40.707769 	-40.707774 	-0.000000
294 	-40.723022 	-40.723589 	-0.000014
295 	-40.746612 	-40.746659 	-0.000001
296 	-40.739586 	-40.739628 	-0.000001
297 	-40.739529 	-40.739567 	-0.000001
298 	-40.732366 	-40.732926 	-0.000014
299 	-40.716686 	-40.716715 	-0.000001
300 	-40.740192 	-40.740364 	-0.000004
301 	-40.753087 	-40.753296 	-0.000005
302 	-40.743402 	-40.743626 	-0.000006
303 	-40.740939 	-40.741127 	-0.000005
304 	-40.732702 	-40.732944 	-0.000006
305 	-40.724947 	-40.725116 	-0.000004
306 	-40.711675 	-40.711933 	-0.000006
307 	-40.725667 	-40.725818 	-0.000004
308 	-40.748534 	-40.748584 	-0.000001
309 	-40.749804 	-40.750245 	-0.000011
310 	-40.739639 	-40.739698 	-0.000001
311 	-40.746118 	-40.746528 	-0.000010
312 	-40.746083 	-40.746152 	-0.000002
313 	-40.768359 	-40.768867 	-0.000012
314 	-40.790825 	-40.790921 	-0.000002
315 	-40.789583 	-40.789672 	-0.000002
316 	-40.792789 	-40.792872 	-0.000002
317 	-40.783003 	-40.783080 	-0.000002
318 	-40.795919 	-40.795989 	-0.000002
319 	-40.802151 	-40.802216 	-0.000002
320 	-40.797003 	-40.797063 	-0.000001
321 	-40.806458 	-40.806513 	-0.000001
322 	-40.828814 	-40.829075 	-0.000006
323 	-40.851379 	-40.851998 	-0.000015
324 	-40.854419 	-40.854419 	-0.000000
325 	-40.860112 	-40.860693 	-0.000014
326 	-40.843371 	-40.843410 	-0.000001
327 	-40.865163 	-40.865820 	-0.000016
328 	-40.856640 	-40.856645 	-0.000000
329 	-40.849546 	-40.850200 	-0.000016
330 	-40.847951 	-40.847954 	-0.000000
331 	-40.847254 	-40.847870 	-0.000015
332 	-40.846777 	-40.846778 	-0.000000
333 	-40.850508 	-40.851088 	-0.000014
334 	-40.841553 	-40.841553 	-0.000000
335 	-40.834132 	-40.834677 	-0.000013
336 	-40.832804 	-40.832804 	-0.000000
337 	-40.854138 	-40.854764 	-0.000015
338 	-40.852915 	-40.852976 	-0.000001
339 	-40.843473 	-40.843529 	-0.000001
340 	-40.831781 	-40.831833 	-0.000001
341 	-40.817590 	-40.817591 	-0.000000
342 	-40.797273 	-40.797297 	-0.000001
343 	-40.807235 	-40.807261 	-0.000001
344 	-40.813962 	-40.813991 	-0.000001
345 	-40.829029 	-40.829061 	-0.000001
346 	-40.841113 	-40.841148 	-0.000001
347 	-40.840602 	-40.840640 	-0.000001
348 	-40.860570 	-40.861036 	-0.000011
349 	-40.881093 	-40.881096 	-0.000000
350 	-40.892862 	-40.892864 	-0.000000
351 	-40.893609 	-40.893610 	-0.000000
352 	-40.884347 	-40.884347 	-0.000000
353 	-40.888738 	-40.888738 	-0.000000
354 	-40.902093 	-40.902093 	-0.000000
355 	-40.895874 	-40.895874 	-0.000000
356 	-40.889691 	-40.889691 	-0.000000
357 	-40.892147 	-40.892147 	-0.000000
358 	-40.912243 	-40.912297 	-0.000001
359 	-40.912519 	-40.912569 	-0.000001
360 	-40.932609 	-40.932830 	-0.000005
361 	-40.910377 	-40.910460 	-0.000002
362 	-40.930583 	-40.930869 	-0.000007
363 	-40.924328 	-40.924604 	-0.000007
364 	-40.935836 	-40.936101 	-0.000006
365 	-40.918856 	-40.918969 	-0.000003
366 	-40.906655 	-40.906762 	-0.000003
367 	-40.907559 	-40.907660 	-0.000002
368 	-40.900232 	-40.900233 	-0.000000
369 	-40.897264 	-40.897353 	-0.000002
370 	-40.908002 	-40.908004 	-0.000000
371 	-40.897692 	-40.897770 	-0.000002
372 	-40.917956 	-40.917992 	-0.000001
373 	-40.931591 	-40.931623 	-0.000001
374 	-40.922655 	-40.922684 	-0.000001
375 	-40.913941 	-40.913966 	-0.000001
376 	-40.902580 	-40.902603 	-0.000001
377 	-40.902813 	-40.902834 	-0.000001
378 	-40.895895 	-40.895913 	-0.000000
379 	-40.887076 	-40.887092 	-0.000000
380 	-40.907210 	-40.907341 	-0.000003
381 	-40.927438 	-40.927793 	-0.000009
382 	-40.928078 	-40.930373 	-0.000056
383 	-40.922835 	-40.923167 	-0.000008
384 	-40.936863 	-40.939184 	-0.000057
385 	-40.956176 	-40.956496 	-0.000008
